produto;instituição;Valor Mínimo;Rentabilidade;Valor Líquido;Rating do Emissor;Vencimento;Liquidez;Taxa;Detalhes
CDB;CARUANA FINANCEIRA;R$ 1.000,00;39,56%;R$ 1.395,59;BBB S&P;1095 dias;;120,5% CDI;LCI/LCA 102.42% CDI
CDB;CARUANA FINANCEIRA;R$ 1.000,00;39,56%;R$ 1.395,59;BBB S&P;1097 dias;No ;120,5% CDI;LCI/LCA 102.42% CDI
CDB;CARUANA FINANCEIRA;R$ 1.000,00;55,55%;R$ 1.555,53;BBB S&P;1441 dias;;120,5% CDI;LCI/LCA 102.42% CDI
CDB;CARUANA FINANCEIRA;R$ 1.000,00;56,55%;R$ 1.565,51;BBB S&P;1460 dias;;120,5% CDI;LCI/LCA 102.42% CDI
CDB;CARUANA FINANCEIRA;R$ 1.000,00;56,55%;R$ 1.565,51;BBB S&P;1463 dias;No ;120,5% CDI;LCI/LCA 102.42% CDI
CDB;CARUANA FINANCEIRA;R$ 1.000,00;75,29%;R$ 1.752,93;BBB S&P;1825 dias;;120,5% CDI;LCI/LCA 102.42% CDI
CDB;CARUANA FINANCEIRA;R$ 5.000,00;38,87%;R$ 6.943,41;BBB S&P;1080 dias;;120,5% CDI;LCI/LCA 102.42% CDI
CDB;CARUANA FINANCEIRA;R$ 5.000,00;55,48%;R$ 7.774,09;BBB S&P;1440 dias;;120,5% CDI;LCI/LCA 102.42% CDI
Picpay;CDB;;;;;;;;103,0% CDI
CDB;BANCO VOITER;R$ 1.000,00;23,56%;R$ 1.235,59;Sem Rating;720 dias;;120,25% CDI;LCI/LCA 99.21% CDI
CDB;BANCO MASTER;R$ 1.000,00;94,73%;R$ 1.947,28;BBB FITCH;2161 dias;;CDI + 2,15%;LCI/LCA 1.83% CDI
CDB;BANCO MASTER;R$ 1.000,00;96,64%;R$ 1.966,40;BBB- FITCH;2190 dias;No ;CDI + 2,15%;LCI/LCA 1.83% CDI
CDB;BANCO BMG;R$ 100,00;39,36%;R$ 139,36;B+ FITCH;1096 dias;No ;120,0% CDI;LCI/LCA 102.0% CDI
CDB;BANCO MASTER;R$ 353,77;16,99%;R$ 413,87;BBB FITCH;538 dias;;120,0% CDI;LCI/LCA 99.0% CDI
CDB;BANCO PINE;R$ 500,00;24,66%;R$ 623,28;BB+ FITCH;732 dias;;120,0% CDI;LCI/LCA 102.0% CDI
CDB;BANCO MASTER;R$ 500,00;38,67%;R$ 693,37;BBB- FITCH;1080 dias;;120,0% CDI;LCI/LCA 102.0% CDI
CDB;BANCO MASTER;R$ 500,00;55,33%;R$ 776,65;BBB- FITCH;1442 dias;;120,0% CDI;LCI/LCA 102.0% CDI
